Year,Month,Recreation Visitors,Non-Recreation Visitors,Recreation Visitor Hours,Non-Recreation Hours,Concession Lodging,Tent Campers,RV Campers,Concession Camping,Backcountry Campers,Misc Campers,Non-Recreation Overnight Stays,Total Overnight Stays,Month_Num,Date
1979,January,0,0,0,0,0,0,0,0,0,0,0,0,1,1979-01-01
1979,February,0,0,0,0,0,0,0,0,0,0,0,0,2,1979-02-01
1979,March,0,0,0,0,0,0,0,0,0,0,0,0,3,1979-03-01
1979,April,0,0,0,0,0,0,0,0,0,0,0,0,4,1979-04-01
1979,May,386,0,42862,0,0,663,0,0,593,485,0,1741,5,1979-05-01
1979,June,2255,0,256002,0,1413,3628,0,0,3367,1940,0,10348,6,1979-06-01
1979,July,5152,15,479254,3930,3863,7624,0,189,6118,1269,236,19299,7,1979-07-01
1979,August,5713,7,683855,4578,4262,12695,0,144,8793,1658,189,27741,8,1979-08-01
1979,September,1203,3,123196,2610,119,2345,0,0,2080,345,108,4997,9,1979-09-01
1979,October,73,3,12516,2376,0,185,0,0,193,39,97,514,10,1979-10-01
1979,November,0,0,0,0,0,0,0,0,0,0,0,0,11,1979-11-01
1979,December,0,0,0,0,0,0,0,0,0,0,0,0,12,1979-12-01
1980,January,0,0,0,0,0,0,0,0,0,0,0,0,1,1980-01-01
1980,February,0,0,0,0,0,0,0,0,0,0,0,0,2,1980-02-01
1980,March,0,0,0,0,0,0,0,0,0,0,0,0,3,1980-03-01
1980,April,0,0,0,0,0,0,0,0,0,0,0,0,4,1980-04-01
1980,May,553,4,58792,364,10,1036,0,48,1276,21,65,2456,5,1980-05-01
1980,June,2642,1,245980,2742,1127,3591,0,35,4594,250,114,9711,6,1980-06-01
1980,July,5140,6,501001,1944,3866,6252,0,73,9112,923,81,20307,7,1980-07-01
1980,August,5934,0,603621,2040,3704,8428,0,103,11266,871,85,24457,8,1980-08-01
1980,September,640,1,63626,2022,263,397,0,23,1647,230,84,2644,9,1980-09-01
1980,October,68,7,4908,2448,0,36,0,0,148,8,102,294,10,1980-10-01
1980,November,0,0,0,0,0,0,0,0,0,0,0,0,11,1980-11-01
1980,December,0,0,0,0,0,0,0,0,0,0,0,0,12,1980-12-01
1981,January,0,0,0,0,0,0,0,0,0,0,0,0,1,1981-01-01
1981,February,0,0,0,0,0,0,0,0,0,0,0,0,2,1981-02-01
1981,March,0,0,0,0,0,0,0,0,0,0,0,0,3,1981-03-01
1981,April,0,0,0,0,0,0,0,0,0,0,0,0,4,1981-04-01
1981,May,593,4,70915,264,90,325,0,145,2283,34,10,2887,5,1981-05-01
1981,June,2506,1,240296,3006,1371,1299,0,43,6817,146,125,9801,6,1981-06-01
1981,July,5010,0,444680,2904,3870,2057,0,217,10995,780,121,18040,7,1981-07-01
1981,August,5265,0,517041,2376,4032,2358,0,74,13728,666,99,20957,8,1981-08-01
1981,September,1098,1,125366,1374,201,763,0,26,3758,183,57,4988,9,1981-09-01
1981,October,86,0,9264,408,0,68,0,0,272,33,17,390,10,1981-10-01
1981,November,0,0,0,0,0,0,0,0,0,0,0,0,11,1981-11-01
1981,December,0,0,0,0,0,0,0,0,0,0,0,0,12,1981-12-01
1982,January,0,0,0,0,0,0,0,0,0,0,0,0,1,1982-01-01
1982,February,0,0,0,0,0,0,0,0,0,0,0,0,2,1982-02-01
1982,March,0,0,0,0,0,0,0,0,0,0,0,0,3,1982-03-01
1982,April,0,0,0,0,0,0,0,0,0,0,0,0,4,1982-04-01
1982,May,517,0,46009,0,33,181,0,122,1603,26,0,1965,5,1982-05-01
1982,June,2153,5,237101,1758,1291,1101,0,107,7031,73,72,9675,6,1982-06-01
1982,July,4470,4,417395,368,3545,1770,0,783,10186,681,72,17037,7,1982-07-01
1982,August,5012,0,507549,2232,3832,2288,0,459,13413,503,93,20588,8,1982-08-01
1982,September,1023,1,131474,1806,959,629,0,66,3579,118,74,5425,9,1982-09-01
1982,October,63,2,3411,492,0,16,0,0,117,3,20,156,10,1982-10-01
1982,November,0,0,0,0,0,0,0,0,0,0,0,0,11,1982-11-01
1982,December,0,0,0,0,0,0,0,0,0,0,0,0,12,1982-12-01
1983,January,0,0,0,0,0,0,0,0,0,0,0,0,1,1983-01-01
1983,February,0,0,0,0,0,0,0,0,0,0,0,0,2,1983-02-01
1983,March,0,0,0,0,0,0,0,0,0,0,0,0,3,1983-03-01
1983,April,0,0,0,0,0,0,0,0,0,0,0,0,4,1983-04-01
1983,May,510,8,50394,1410,94,130,0,38,1688,44,58,2052,5,1983-05-01
1983,June,1988,25,242450,1728,1020,1132,0,75,7479,143,72,9921,6,1983-06-01
1983,July,4264,0,385689,2160,3126,1920,0,698,9314,517,90,15665,7,1983-07-01
1983,August,4953,7,494170,954,3626,2793,0,364,12890,299,38,20010,8,1983-08-01
1983,September,1131,0,116751,0,428,623,0,44,3560,74,0,4729,9,1983-09-01
1983,October,82,5,9102,1536,0,67,0,0,290,7,64,428,10,1983-10-01
1983,November,0,0,0,0,0,0,0,0,0,0,0,0,11,1983-11-01
1983,December,0,0,0,0,0,0,0,0,0,0,0,0,12,1983-12-01
1984,January,0,0,0,0,0,0,0,0,0,0,0,0,1,1984-01-01
1984,February,0,0,0,0,0,0,0,0,0,0,0,0,2,1984-02-01
1984,March,0,0,0,0,0,0,0,0,0,0,0,0,3,1984-03-01
1984,April,0,0,0,0,0,0,0,0,0,0,0,0,4,1984-04-01
1984,May,502,322,44720,438,71,174,0,5,1546,33,14,1843,5,1984-05-01
1984,June,1554,805,164909,3656,1569,1033,0,131,5484,347,18,8582,6,1984-06-01
1984,July,4009,1412,334426,4137,1569,1866,0,1049,8437,924,155,14000,7,1984-07-01
1984,August,4748,1814,474040,4454,3390,2456,0,459,12296,1021,163,19785,8,1984-08-01
1984,September,954,432,122734,2098,1295,566,0,60,2944,241,82,5188,9,1984-09-01
1984,October,47,3,1128,5553,0,23,0,0,157,10,231,421,10,1984-10-01
1984,November,0,6,0,2,0,0,0,0,0,0,0,0,11,1984-11-01
1984,December,0,36,0,11,0,0,0,0,0,0,0,0,12,1984-12-01
1985,January,0,28,0,8,0,0,0,0,0,0,0,0,1,1985-01-01
1985,February,0,91,0,27,0,0,0,0,0,0,0,0,2,1985-02-01
1985,March,0,110,0,33,0,0,0,0,0,0,0,0,3,1985-03-01
1985,April,102,704,1272,211,0,14,0,0,33,0,0,47,4,1985-04-01
1985,May,678,28,54076,2424,63,327,0,26,1684,170,101,2371,5,1985-05-01
1985,June,2786,31,211001,5112,1534,1006,0,136,5598,458,213,8945,6,1985-06-01
1985,July,5756,37,381536,6552,3439,1677,0,591,8877,1141,273,15998,7,1985-07-01
1985,August,6050,28,507606,4056,3670,2815,0,642,13057,804,169,21157,8,1985-08-01
1985,September,1145,4,101104,2856,613,538,0,20,2844,176,119,4310,9,1985-09-01
1985,October,131,0,10939,3216,0,56,0,0,169,2,134,361,10,1985-10-01
1985,November,10,0,10,0,0,0,0,0,0,0,0,0,11,1985-11-01
1985,December,117,0,117,0,0,0,0,0,0,0,0,0,12,1985-12-01
1986,January,22,0,22,0,0,0,0,0,0,0,0,0,1,1986-01-01
1986,February,116,0,116,0,0,0,0,0,0,0,0,0,2,1986-02-01
1986,March,337,7,337,6456,0,0,0,0,0,0,269,269,3,1986-03-01
1986,April,297,0,892,1440,0,0,0,0,25,0,60,85,4,1986-04-01
1986,May,863,6,46603,2296,73,158,0,29,1421,243,95,2019,5,1986-05-01
1986,June,3892,2,240122,6120,1120,1059,0,297,6884,520,255,10135,6,1986-06-01
1986,July,9266,0,432888,4392,4785,1732,0,846,8785,1530,183,17861,7,1986-07-01
1986,August,9583,8,505580,4640,3884,2395,0,540,13028,868,192,20907,8,1986-08-01
1986,September,1373,0,100742,1512,526,529,0,33,2864,207,63,4222,9,1986-09-01
1986,October,150,53,7055,8352,0,45,0,0,221,24,348,638,10,1986-10-01
1986,November,62,0,62,0,0,0,0,0,0,0,0,0,11,1986-11-01
1986,December,161,0,161,0,0,0,0,0,0,0,0,0,12,1986-12-01
1987,January,25,0,25,0,0,0,0,0,0,0,0,0,1,1987-01-01
1987,February,60,0,60,0,0,0,0,0,0,0,0,0,2,1987-02-01
1987,March,308,0,308,0,0,0,0,0,0,0,0,0,3,1987-03-01
1987,April,266,78,1261,1968,0,2,0,0,40,0,82,124,4,1987-04-01
1987,May,1419,58,58312,9056,133,252,0,12,1754,237,377,2765,5,1987-05-01
1987,June,5197,56,251453,9304,899,1211,0,86,7118,796,387,10497,6,1987-06-01
1987,July,10702,5,397086,5760,2101,2114,0,656,9229,1801,240,16141,7,1987-07-01
1987,August,10861,1,447689,3840,2272,2102,0,454,11749,1521,160,18258,8,1987-08-01
1987,September,2571,0,118020,1728,588,551,0,35,3184,401,72,4831,9,1987-09-01
1987,October,191,0,7134,4320,0,60,0,0,177,56,180,473,10,1987-10-01
1987,November,31,0,31,0,0,0,0,0,0,0,0,0,11,1987-11-01
1987,December,129,0,129,0,0,0,0,0,0,0,0,0,12,1987-12-01
1988,January,12,0,12,0,0,0,0,0,0,0,0,0,1,1988-01-01
1988,February,35,0,35,0,0,0,0,0,0,0,0,0,2,1988-02-01
1988,March,259,0,259,0,0,0,0,0,0,0,0,0,3,1988-03-01
1988,April,300,18,1005,72,0,0,0,0,0,30,0,30,4,1988-04-01
1988,May,776,18,55122,3672,7,301,0,50,1734,190,153,2435,5,1988-05-01
1988,June,4491,19,246570,6264,1083,1113,0,390,6800,571,261,10218,6,1988-06-01
1988,July,8711,3,418109,4752,2277,1317,0,1291,10437,1623,198,17143,7,1988-07-01
1988,August,9471,1,420686,9936,2656,2522,0,504,9944,1347,414,17387,8,1988-08-01
1988,September,2248,0,104244,1032,667,630,0,133,2648,159,43,4280,9,1988-09-01
1988,October,203,0,9428,3552,0,49,0,0,244,96,148,537,10,1988-10-01
1988,November,23,0,23,0,0,0,0,0,0,0,0,0,11,1988-11-01
1988,December,64,0,64,0,0,0,0,0,0,0,0,0,12,1988-12-01
1989,January,63,0,63,0,0,0,0,0,0,0,0,0,1,1989-01-01
1989,February,102,0,102,0,0,0,0,0,0,0,0,0,2,1989-02-01
1989,March,252,0,252,0,0,0,0,0,0,0,0,0,3,1989-03-01
1989,April,130,2,130,48,0,0,0,0,0,0,2,2,4,1989-04-01
1989,May,812,29,48437,3320,86,209,0,10,1590,107,138,2140,5,1989-05-01
1989,June,3940,148,223619,10536,995,1121,0,127,6249,581,439,9512,6,1989-06-01
1989,July,9906,12,448091,2448,2248,2182,0,741,11388,1558,102,18219,7,1989-07-01
1989,August,9764,95,453209,6240,2760,2249,0,504,11429,1330,260,18532,8,1989-08-01
1989,September,1854,11,114210,792,473,663,0,52,3122,373,33,4716,9,1989-09-01
1989,October,198,18,6211,3608,0,22,0,0,199,33,150,404,10,1989-10-01
1989,November,42,0,42,0,0,0,0,0,0,0,0,0,11,1989-11-01
1989,December,70,0,70,0,0,0,0,0,0,0,0,0,12,1989-12-01
1990,January,27,0,27,0,0,0,0,0,0,0,0,0,1,1990-01-01
1990,February,67,0,67,0,0,0,0,0,0,0,0,0,2,1990-02-01
1990,March,419,0,419,0,0,0,0,0,0,0,0,0,3,1990-03-01
1990,April,178,2,178,8,0,0,0,0,0,0,0,0,4,1990-04-01
1990,May,695,13,49190,2016,35,245,0,23,1628,105,84,2120,5,1990-05-01
1990,June,3240,11,256103,2472,1017,1348,0,127,7381,586,103,10562,6,1990-06-01
1990,July,7989,23,481671,3408,2189,2313,0,731,12774,1612,142,19761,7,1990-07-01
1990,August,8509,40,457513,4488,2067,2375,0,568,12359,1140,187,18696,8,1990-08-01
1990,September,1921,3,114218,1080,514,662,0,88,3165,243,45,4717,9,1990-09-01
1990,October,258,5,7463,2184,0,38,0,0,182,83,91,394,10,1990-10-01
1990,November,25,27,25,1296,0,0,0,0,0,0,54,54,11,1990-11-01
1990,December,167,0,167,0,0,0,0,0,0,0,0,0,12,1990-12-01
1991,January,71,0,71,0,0,0,0,0,0,0,0,0,1,1991-01-01
1991,February,69,0,69,0,0,0,0,0,0,0,0,0,2,1991-02-01
1991,March,311,0,311,0,0,0,0,0,0,0,0,0,3,1991-03-01
1991,April,168,0,453,0,0,0,0,0,12,0,0,12,4,1991-04-01
1991,May,784,24,56716,3056,39,244,0,26,1906,131,127,2473,5,1991-05-01
1991,June,3386,32,252735,4320,1115,1115,0,166,7547,373,180,10496,6,1991-06-01
1991,July,7003,15,455165,4536,2208,2330,0,918,11850,1263,189,18758,7,1991-07-01
1991,August,7897,25,493057,4200,2038,2575,0,721,13752,1079,175,20340,8,1991-08-01
1991,September,1818,9,106544,936,450,628,0,21,2996,271,39,4405,9,1991-09-01
1991,October,162,63,5311,3992,0,10,0,0,85,122,166,383,10,1991-10-01
1991,November,14,0,14,0,0,0,0,0,0,0,0,0,11,1991-11-01
1991,December,321,0,1056,0,0,0,0,0,0,0,0,0,12,1991-12-01
1992,January,48,0,48,0,0,0,0,0,0,0,0,0,1,1992-01-01
1992,February,69,0,69,0,0,0,0,0,0,0,0,0,2,1992-02-01
1992,March,128,0,128,0,0,0,0,0,0,0,0,0,3,1992-03-01
1992,April,243,3,908,12,0,0,0,0,28,0,0,28,4,1992-04-01
1992,May,820,71,56045,6528,43,249,0,8,1996,25,272,2593,5,1992-05-01
1992,June,3649,5,256036,3764,942,1254,0,192,7680,323,156,10547,6,1992-06-01
1992,July,7125,35,437861,2240,2071,2450,0,624,11772,899,90,17906,7,1992-07-01
1992,August,7961,18,506299,3120,2311,2709,0,551,14339,773,130,20813,8,1992-08-01
1992,September,2191,55,127556,4536,597,699,0,81,3617,201,189,5384,9,1992-09-01
1992,October,142,9,7020,1884,0,36,0,0,231,22,78,367,10,1992-10-01
1992,November,27,0,27,0,0,0,0,0,0,0,0,0,11,1992-11-01
1992,December,325,0,1396,0,0,0,0,0,0,0,0,0,12,1992-12-01
1993,January,39,0,39,0,0,0,0,0,0,0,0,0,1,1993-01-01
1993,February,58,0,58,0,0,0,0,0,0,0,0,0,2,1993-02-01
1993,March,129,0,129,0,0,0,0,0,0,0,0,0,3,1993-03-01
1993,April,130,0,459,0,0,0,0,0,14,0,0,14,4,1993-04-01
1993,May,728,73,60441,7008,47,247,0,14,2140,60,292,2800,5,1993-05-01
1993,June,3211,16,237442,4032,882,1123,0,197,7035,473,168,9878,6,1993-06-01
1993,July,7298,20,478828,1520,1850,2633,0,699,13245,1161,62,19650,7,1993-07-01
1993,August,8143,19,537634,4968,2418,3147,0,620,14634,1197,207,22223,8,1993-08-01
1993,September,1952,3,124803,1320,492,852,0,86,3469,182,55,5136,9,1993-09-01
1993,October,231,2,7151,8,0,56,0,0,153,81,0,290,10,1993-10-01
1993,November,38,0,38,0,0,0,0,0,0,0,0,0,11,1993-11-01
1993,December,26,0,26,0,0,0,0,0,0,0,0,0,12,1993-12-01
1994,January,39,0,39,0,0,0,0,0,0,0,0,0,1,1994-01-01
1994,February,56,0,56,0,0,0,0,0,0,0,0,0,2,1994-02-01
1994,March,93,0,93,0,0,0,0,0,0,0,0,0,3,1994-03-01
1994,April,124,2,124,144,0,0,0,0,0,0,6,6,4,1994-04-01
1994,May,873,63,56170,5172,10,226,0,2,1960,125,215,2538,5,1994-05-01
1994,June,3479,10,232171,3908,870,1224,0,210,6796,354,162,9616,6,1994-06-01
1994,July,8502,21,548822,4104,1752,3150,0,708,15053,1715,170,22548,7,1994-07-01
1994,August,9088,76,572183,10344,2030,3219,0,642,15581,1854,422,23748,8,1994-08-01
1994,September,2243,12,131592,3176,332,806,0,66,3984,197,132,5517,9,1994-09-01
1994,October,253,14,8757,2040,0,40,0,0,299,17,85,441,10,1994-10-01
1994,November,40,0,40,0,0,0,0,0,0,0,0,0,11,1994-11-01
1994,December,53,0,53,0,0,0,0,0,0,0,0,0,12,1994-12-01
1995,January,48,0,48,0,0,0,0,0,0,0,0,0,1,1995-01-01
1995,February,61,0,61,0,0,0,0,0,0,0,0,0,2,1995-02-01
1995,March,62,0,62,0,0,0,0,0,0,0,0,0,3,1995-03-01
1995,April,116,0,116,0,0,0,0,0,0,0,0,0,4,1995-04-01
1995,May,704,54,68262,6728,17,284,0,9,2478,33,280,3101,5,1995-05-01
1995,June,3997,4,298087,3192,677,1486,0,224,9165,636,133,12321,6,1995-06-01
1995,July,7421,13,520231,2504,1876,2515,0,605,14655,1675,104,21430,7,1995-07-01
1995,August,8068,2,541242,5816,2253,2983,0,462,14505,1875,242,22320,8,1995-08-01
1995,September,2426,9,149432,1392,378,829,0,97,4537,243,58,6142,9,1995-09-01
1995,October,228,22,7783,4104,0,81,0,0,224,12,168,485,10,1995-10-01
1995,November,34,0,34,0,0,0,0,0,0,0,0,0,11,1995-11-01
1995,December,305,0,1355,0,0,0,0,0,0,0,0,0,12,1995-12-01
1996,January,57,0,57,0,0,0,0,0,0,0,0,0,1,1996-01-01
1996,February,27,0,27,0,0,0,0,0,0,0,0,0,2,1996-02-01
1996,March,64,0,64,0,0,0,0,0,0,0,0,0,3,1996-03-01
1996,April,93,0,93,0,0,0,0,0,0,0,0,0,4,1996-04-01
1996,May,424,24,44871,4776,118,222,0,0,1461,46,199,2046,5,1996-05-01
1996,June,3639,7,329807,1632,1372,1445,0,161,9916,644,68,13606,6,1996-06-01
1996,July,7213,25,536777,1632,2955,2603,0,590,14170,1632,66,22016,7,1996-07-01
1996,August,8690,22,632015,1544,3322,3307,0,658,17146,1434,64,25931,8,1996-08-01
1996,September,1832,29,124840,2808,506,708,0,23,3615,247,116,5215,9,1996-09-01
1996,October,194,13,9898,3048,0,58,0,0,317,32,127,534,10,1996-10-01
1996,November,154,15,154,60,0,0,0,0,0,0,0,0,11,1996-11-01
1996,December,1058,0,2924,0,0,0,0,0,0,0,0,0,12,1996-12-01
1997,January,75,0,75,0,0,0,0,0,0,0,0,0,1,1997-01-01
1997,February,47,0,47,0,0,0,0,0,0,0,0,0,2,1997-02-01
1997,March,56,0,56,0,0,0,0,0,0,0,0,0,3,1997-03-01
1997,April,102,0,102,0,0,0,0,0,0,0,0,0,4,1997-04-01
1997,May,662,1,56840,4128,62,232,0,7,1976,74,172,2523,5,1997-05-01
1997,June,3418,39,283460,8880,1285,1156,0,133,8502,529,370,11975,6,1997-06-01
1997,July,6779,30,464612,2504,2681,2091,0,304,12913,990,104,19083,7,1997-07-01
1997,August,7957,22,567138,3592,3050,2847,0,406,15468,1434,149,23354,8,1997-08-01
1997,September,1795,20,106722,1920,435,546,0,19,3161,186,80,4427,9,1997-09-01
1997,October,208,10,3208,2692,0,10,0,0,92,24,112,238,10,1997-10-01
1997,November,51,0,51,0,0,0,0,0,0,0,0,0,11,1997-11-01
1997,December,231,0,231,0,0,0,0,0,0,0,0,0,12,1997-12-01
1998,January,49,0,49,0,0,0,0,0,0,0,0,0,1,1998-01-01
1998,February,52,0,52,0,0,0,0,0,0,0,0,0,2,1998-02-01
1998,March,69,0,69,0,0,0,0,0,0,0,0,0,3,1998-03-01
1998,April,134,0,134,0,0,0,0,0,0,0,0,0,4,1998-04-01
1998,May,834,31,59120,5688,43,234,0,11,2154,9,237,2688,5,1998-05-01
1998,June,3853,46,278762,5568,950,1389,0,168,8656,231,232,11626,6,1998-06-01
1998,July,7642,93,501889,3212,2441,2448,0,302,14398,896,132,20617,7,1998-07-01
1998,August,8454,59,564921,14748,2742,3033,0,330,15625,1335,614,23679,8,1998-08-01
1998,September,2193,19,115113,1224,546,623,0,29,3223,244,50,4715,9,1998-09-01
1998,October,268,18,9906,5336,0,21,0,0,370,14,222,627,10,1998-10-01
1998,November,66,4,66,16,0,0,0,0,0,0,0,0,11,1998-11-01
1998,December,318,0,1109,0,0,0,0,0,0,0,0,0,12,1998-12-01
1999,January,29,0,29,0,0,0,0,0,0,0,0,0,1,1999-01-01
1999,February,59,0,59,0,0,0,0,0,0,0,0,0,2,1999-02-01
1999,March,64,0,64,0,0,0,0,0,0,0,0,0,3,1999-03-01
1999,April,125,0,125,0,0,0,0,0,0,0,0,0,4,1999-04-01
1999,May,1057,43,51770,5692,113,246,0,41,1587,126,237,2350,5,1999-05-01
1999,June,3522,39,273876,5136,1223,1152,0,128,8232,492,213,11440,6,1999-06-01
1999,July,7413,18,538091,1392,2723,2515,0,278,15144,1288,57,22005,7,1999-07-01
1999,August,8387,27,557979,1668,3069,2672,0,196,15531,1303,68,22839,8,1999-08-01
1999,September,2224,31,116920,5292,514,494,0,21,3379,340,220,4968,9,1999-09-01
1999,October,318,9,7497,2616,0,17,0,0,155,132,109,413,10,1999-10-01
1999,November,78,0,78,0,0,0,0,0,0,0,0,0,11,1999-11-01
1999,December,217,0,700,0,0,0,0,0,0,0,0,0,12,1999-12-01
2000,January,46,0,46,0,0,0,0,0,0,0,0,0,1,2000-01-01
2000,February,67,0,67,0,0,0,0,0,0,0,0,0,2,2000-02-01
2000,March,90,0,90,0,0,0,0,0,0,0,0,0,3,2000-03-01
2000,April,182,0,182,0,0,0,0,0,0,0,0,0,4,2000-04-01
2000,May,1009,24,87906,2616,34,346,0,14,3080,165,108,3747,5,2000-05-01
2000,June,2986,31,250262,2600,1247,1429,0,56,6924,596,108,10360,6,2000-06-01
2000,July,7148,23,518375,5544,3021,2595,0,338,13882,1360,230,21426,7,2000-07-01
2000,August,7260,34,473759,4252,2867,2195,0,167,12440,1626,176,19471,8,2000-08-01
2000,September,1856,23,122017,3604,561,584,0,16,3590,217,149,5117,9,2000-09-01
2000,October,202,11,12105,872,0,51,0,0,241,206,36,534,10,2000-10-01
2000,November,49,0,49,0,0,0,0,0,0,0,0,0,11,2000-11-01
2000,December,201,0,786,0,0,0,0,0,0,0,0,0,12,2000-12-01
2001,January,23,0,23,0,0,0,0,0,0,0,0,0,1,2001-01-01
2001,February,49,0,49,0,0,0,0,0,0,0,0,0,2,2001-02-01
2001,March,73,0,73,0,0,0,0,0,0,0,0,0,3,2001-03-01
2001,April,96,0,120,0,0,0,0,0,1,0,0,1,4,2001-04-01
2001,May,914,25,72227,2312,99,285,0,49,2475,79,96,3083,5,2001-05-01
2001,June,2763,44,262303,4056,1118,941,0,20,8143,549,169,10940,6,2001-06-01
2001,July,6139,29,506236,1468,2144,2062,0,222,14885,1474,60,20847,7,2001-07-01
2001,August,7055,15,585186,1520,2837,2466,0,203,17635,840,63,24044,8,2001-08-01
